TestDescription,Value,Component
517020_Leakage 9A ANODE CHANNEL 4,703.8,C427
517030_Leakage 20C ANODE CHANNEL 2,295.9,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C427
501050_[A-01][A-07] LIN Voltage,.0959,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,1.747,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,2123.,C427
517020_Leakage 9A ANODE CHANNEL 4,656.5,C427
517030_Leakage 20C ANODE CHANNEL 2,247.7,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0015,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1673.,C427
517020_Leakage 9A ANODE CHANNEL 4,1602.,C427
517030_Leakage 20C ANODE CHANNEL 2,1541.,C427
517040_Leakage 22C ANODE CHANNEL 1,1485.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0001,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0016,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1549.,C427
517020_Leakage 9A ANODE CHANNEL 4,1486.,C427
517030_Leakage 20C ANODE CHANNEL 2,1429.,C427
517040_Leakage 22C ANODE CHANNEL 1,1376.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0045,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1320.,C427
517020_Leakage 9A ANODE CHANNEL 4,1278.,C427
517030_Leakage 20C ANODE CHANNEL 2,1238.,C427
517040_Leakage 22C ANODE CHANNEL 1,884.4,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0002,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0001,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C427
501050_[A-01][A-07] LIN Voltage,.0043,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1448.,C427
517020_Leakage 9A ANODE CHANNEL 4,1396.,C427
517030_Leakage 20C ANODE CHANNEL 2,1348.,C427
517040_Leakage 22C ANODE CHANNEL 1,1305.,C427
500230_[A-01][A-21]PCHK 21A POWER SUPPLY CHANNEL 3,19.17,C437
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C437
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C437
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C437
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C437
501050_[A-01][A-07] LIN Voltage,.0091,C437
501060_Read SW Version,21474,C437
500230_[A-01][A-21]PCHK 21A POWER SUPPLY CHANNEL 3,42.39,C437
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C437
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C437
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C437
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C437
501050_[A-01][A-07] LIN Voltage,.0982,C437
501060_Read SW Version,21474,C437
517010_Leakage 8A ANODESBL2/3+SLB4/5,1637.,C437
517020_Leakage 9A ANODE CHANNEL 4,1568.,C437
517030_Leakage 20C ANODE CHANNEL 2,1505.,C437
517040_Leakage 22C ANODE CHANNEL 1,1448.,C437
505170_OC Set PWM SUPP 50%,-1197,C427
505180_LCO P3 SUPP_CTRL Meas Freq,63762,C427
505190_LCO P3 SUPP_CTRL Meas Duty Cycle,94.75,C427
505200_LCO P3 SUPP_CTRL Meas Vrms,.0546,C427
505210_OC Set PWM SUPP 0%,-1197,C427
505220_OC Set PWM FRONT FOG CONTROL 50%,-1197,C427
505230_OC PWM FRONT FOG CONTROL Meas Freq,16919,C427
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle,68.19,C427
505250_OC PWM FRONT FOG CONTROL Meas Vrms,.0318,C427
505260_OC Set PWM FRONT FOG CONTROL 0%,-1197,C427
505270_OC Set PWM SM CONTROL 50%,-1197,C427
505280_OC PWM SM CONTROL Meas Freq,17334,C427
505290_OC PWM SM CONTROL Meas Duty Cycle,14.46,C427
505300_OC PWM SM CONTROL Meas Vrms,.0325,C427
505310_OC Set PWM SM CONTROL 0%,-1197,C427
505320_OC Set PWM LINCOLN STAR CONTROL 50%,-1197,C427
505330_OC PWM LINCOLN STAR CONTROL Meas Freq,17334,C427
505340_OC PWM LINCOLN STAR CONTROL Meas Duty Cycle,14.46,C427
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms,.0325,C427
505360_OC Set PWM LINCOLN STAR CONTROL 0%,-1197,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0026,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0153,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0083,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1632.,C427
517020_Leakage 9A ANODE CHANNEL 4,1563.,C427
517030_Leakage 20C ANODE CHANNEL 2,1504.,C427
517040_Leakage 22C ANODE CHANNEL 1,1453.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0081,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1513.,C427
517020_Leakage 9A ANODE CHANNEL 4,1451.,C427
517030_Leakage 20C ANODE CHANNEL 2,1396.,C427
517040_Leakage 22C ANODE CHANNEL 1,1345.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0056,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0053,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1566.,C427
517020_Leakage 9A ANODE CHANNEL 4,1500.,C427
517030_Leakage 20C ANODE CHANNEL 2,1440.,C427
517040_Leakage 22C ANODE CHANNEL 1,1387.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.1056,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1552.,C427
517020_Leakage 9A ANODE CHANNEL 4,1487.,C427
517030_Leakage 20C ANODE CHANNEL 2,1429.,C427
517040_Leakage 22C ANODE CHANNEL 1,1376.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0941,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,1.757,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0030,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0044,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,1.940,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,2080.,C427
517020_Leakage 9A ANODE CHANNEL 4,675.6,C427
517030_Leakage 20C ANODE CHANNEL 2,281.4,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,2.008,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,2027.,C427
517020_Leakage 9A ANODE CHANNEL 4,648.3,C427
517030_Leakage 20C ANODE CHANNEL 2,257.2,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C427
501050_[A-01][A-07] LIN Voltage,.0484,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1665.,C427
517020_Leakage 9A ANODE CHANNEL 4,1595.,C427
517030_Leakage 20C ANODE CHANNEL 2,1537.,C427
517040_Leakage 22C ANODE CHANNEL 1,1484.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0002,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0001,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C427
501050_[A-01][A-07] LIN Voltage,.0049,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1578.,C427
517020_Leakage 9A ANODE CHANNEL 4,1512.,C427
517030_Leakage 20C ANODE CHANNEL 2,1451.,C427
517040_Leakage 22C ANODE CHANNEL 1,1398.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0258,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1688.,C427
517020_Leakage 9A ANODE CHANNEL 4,1616.,C427
517030_Leakage 20C ANODE CHANNEL 2,1556.,C427
517040_Leakage 22C ANODE CHANNEL 1,1503.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0034,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C427
501050_[A-01][A-07] LIN Voltage,.0047,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,781.7,C427
517020_Leakage 9A ANODE CHANNEL 4,428.6,C427
517030_Leakage 20C ANODE CHANNEL 2,255.5,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0035,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0015,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0003,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0002,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0001,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C427
501050_[A-01][A-07] LIN Voltage,.6179,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1455.,C427
517020_Leakage 9A ANODE CHANNEL 4,482.7,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C427
501050_[A-01][A-07] LIN Voltage,.0041,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0027,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0140,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0084,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0236,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1667.,C427
517020_Leakage 9A ANODE CHANNEL 4,1596.,C427
517030_Leakage 20C ANODE CHANNEL 2,1533.,C427
517040_Leakage 22C ANODE CHANNEL 1,1477.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0043,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1619.,C427
517020_Leakage 9A ANODE CHANNEL 4,1548.,C427
517030_Leakage 20C ANODE CHANNEL 2,1484.,C427
517040_Leakage 22C ANODE CHANNEL 1,1426.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.6488,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,854.1,C427
517020_Leakage 9A ANODE CHANNEL 4,312.5,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0135,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1328.,C427
517020_Leakage 9A ANODE CHANNEL 4,1283.,C427
517030_Leakage 20C ANODE CHANNEL 2,1242.,C427
517040_Leakage 22C ANODE CHANNEL 1,926.2,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0001,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0049,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1473.,C427
517020_Leakage 9A ANODE CHANNEL 4,1417.,C427
517030_Leakage 20C ANODE CHANNEL 2,1365.,C427
517040_Leakage 22C ANODE CHANNEL 1,1319.,C427
505060_AI P0 Read ADC R NTC-TI,262,C310
505080_AI P0 Read R BINNING-TI,262,C310
505060_AI P0 Read ADC R NTC-TI,262,C310
505080_AI P0 Read R BINNING-TI,262,C310
505060_AI P0 Read ADC R NTC-TI,262,C310
505080_AI P0 Read R BINNING-TI,262,C310
505060_AI P0 Read ADC R NTC-TI,262,C310
505080_AI P0 Read R BINNING-TI,262,C310
505060_AI P0 Read ADC R NTC-TI,262,C310
505080_AI P0 Read R BINNING-TI,262,C310
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0017,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C427
501050_[A-01][A-07] LIN Voltage,.0019,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0015,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C427
501050_[A-01][A-07] LIN Voltage,.0290,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1476.,C427
517020_Leakage 9A ANODE CHANNEL 4,1420.,C427
517030_Leakage 20C ANODE CHANNEL 2,1369.,C427
517040_Leakage 22C ANODE CHANNEL 1,1323.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0041,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0120,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0994,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0036,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1546.,C427
517020_Leakage 9A ANODE CHANNEL 4,1484.,C427
517030_Leakage 20C ANODE CHANNEL 2,1429.,C427
